R_in_python,R_Rcpp_in_python,clean_time
0.24704313278198242,0.27719688415527344,0.030988454818725586
0.3099191188812256,0.2688782215118408,0.021381139755249023
0.21185684204101562,0.0891256332397461,0.024832487106323242
0.250654935836792,0.16671323776245117,0.03176259994506836
0.37014150619506836,0.18363595008850098,0.03234148025512695
0.2860589027404785,0.0805966854095459,0.04378771781921387
0.2059769630432129,0.2072310447692871,0.03156852722167969
0.2174830436706543,0.2403113842010498,0.03106403350830078
0.23978114128112793,0.1711864471435547,0.021894454956054688
0.35555005073547363,0.1609511375427246,0.03969621658325195
0.252169132232666,0.11343240737915039,0.043631553649902344
0.30672168731689453,0.28061461448669434,0.037264108657836914
0.182220458984375,0.2771329879760742,0.023087024688720703
0.5219869613647461,0.27562427520751953,0.02186131477355957
0.28409790992736816,0.17044329643249512,0.015634536743164062
0.17745494842529297,0.08131694793701172,0.03135824203491211
0.32871055603027344,0.12694764137268066,0.018364429473876953
0.19289016723632812,0.2970564365386963,0.031287431716918945
0.31976747512817383,0.0813443660736084,0.028435468673706055
0.17122554779052734,0.08379459381103516,0.023345947265625
0.45273280143737793,0.23250508308410645,0.03312849998474121
0.7192988395690918,0.06421995162963867,0.02778482437133789
0.2589609622955322,0.15735173225402832,0.0328061580657959
0.4037959575653076,0.17904973030090332,0.031070470809936523
0.15587687492370605,0.14476561546325684,0.022251605987548828
0.40004491806030273,0.07491016387939453,0.029074907302856445
0.1815168857574463,0.11923027038574219,0.04236412048339844
0.19077444076538086,0.16184544563293457,0.030953645706176758
0.1630408763885498,0.31757664680480957,0.03942084312438965
0.6032881736755371,0.20524072647094727,0.036531925201416016
0.4219481945037842,0.22803187370300293,0.04134535789489746
0.49326634407043457,0.4123075008392334,0.03365492820739746
0.24353957176208496,0.11251401901245117,0.015749216079711914
0.16091179847717285,0.22539329528808594,0.031242847442626953
0.14185261726379395,0.0865180492401123,0.049611568450927734
0.19256806373596191,0.29970669746398926,0.029718875885009766
0.2026660442352295,0.08473372459411621,0.07823991775512695
0.16316676139831543,0.11855101585388184,0.052007436752319336
0.15319013595581055,0.14908337593078613,0.061159372329711914
0.13581299781799316,0.2485189437866211,0.020654678344726562
0.3418905735015869,0.16920065879821777,0.055361270904541016
0.23434877395629883,0.11539077758789062,0.03275299072265625
0.2486727237701416,0.17237067222595215,0.07422089576721191
0.2409210205078125,0.39810872077941895,0.033843994140625
0.1477522850036621,0.3082761764526367,0.022232532501220703
0.143035888671875,0.12037467956542969,0.07076406478881836
0.2219250202178955,0.15795421600341797,0.062081336975097656
0.19751548767089844,0.6145246028900146,0.04958915710449219
0.18087124824523926,0.2318861484527588,0.021888256072998047
0.2968595027923584,0.2859656810760498,0.04929614067077637
0.7062745094299316,0.1323988437652588,0.042687177658081055
0.2882072925567627,0.13067054748535156,0.08157873153686523
0.27162909507751465,0.14541959762573242,0.0652933120727539
0.2507321834564209,0.08536934852600098,0.06341934204101562
0.19860124588012695,0.46411991119384766,0.0468754768371582
0.19257044792175293,0.35799145698547363,0.1805875301361084
0.28113842010498047,0.47928786277770996,0.033766984939575195
0.22982215881347656,0.06921839714050293,0.08020782470703125
0.3354775905609131,0.06872177124023438,0.08152937889099121
0.18768763542175293,0.10049176216125488,0.046990394592285156
0.2641139030456543,0.2655520439147949,0.04902458190917969
0.5671958923339844,0.21673846244812012,0.033551692962646484
0.326627254486084,0.17255401611328125,0.051598548889160156
0.39525461196899414,0.1870119571685791,0.033483266830444336
0.18170475959777832,0.13115358352661133,0.03622937202453613
0.19874143600463867,0.09523987770080566,0.029493331909179688
0.24772858619689941,0.17755699157714844,0.01669478416442871
0.32475900650024414,0.19090628623962402,0.034587860107421875
0.45090603828430176,0.3689136505126953,0.021120786666870117
0.21717190742492676,0.10820317268371582,0.031618356704711914
0.10402560234069824,0.23602700233459473,0.03135395050048828
0.27756261825561523,0.03635740280151367,0.034683942794799805
0.09947466850280762,0.16913414001464844,0.031249284744262695
0.32613563537597656,0.021056175231933594,0.05361652374267578
0.22642779350280762,0.19512510299682617,0.020647048950195312
0.11387801170349121,0.2769744396209717,0.020306110382080078
0.18173766136169434,0.17406916618347168,0.02053999900817871
0.17108607292175293,0.1493077278137207,0.01572561264038086
0.3025479316711426,0.24811267852783203,0.05035209655761719
0.355832576751709,0.10502481460571289,0.02883601188659668
0.2638514041900635,0.19173884391784668,0.030377864837646484
0.3898506164550781,0.1543266773223877,0.05094504356384277
0.16553449630737305,0.3005661964416504,0.030704975128173828
0.19060325622558594,0.13652443885803223,0.03126263618469238
0.38001084327697754,0.2913637161254883,0.03333115577697754
0.17600131034851074,0.5074284076690674,0.05001497268676758
0.21502399444580078,0.11432480812072754,0.06550788879394531
0.22157931327819824,0.401608943939209,0.049918413162231445
0.22852802276611328,0.1001291275024414,0.06258416175842285
0.44030070304870605,0.08107233047485352,0.0616152286529541
0.22492074966430664,0.19447755813598633,0.03965258598327637
0.2046370506286621,0.07709240913391113,0.07686948776245117
0.19704055786132812,0.16054725646972656,0.05744194984436035
0.21919560432434082,0.15040826797485352,0.07262086868286133
0.7505991458892822,0.1331346035003662,0.08402490615844727
0.20447587966918945,0.3090689182281494,0.023467063903808594
0.4863259792327881,0.1600942611694336,0.05000734329223633
0.17090225219726562,0.07445168495178223,0.05599069595336914
0.4238884449005127,0.4082982540130615,0.0551609992980957
0.15054988861083984,0.1885678768157959,0.07198429107666016
