"V1","V2","V3","V4","V5","V6","V7","V8"
0.177742614050766,0.108555941070791,0.0644130687296956,0.0835,0.1415,0.2045,0.0554388888888889,0.0879125512893503
0.14405577384117,0.116990009488929,0.0625200550186923,0.068,0.109,0.2025,0.0816888888888889,0.137814318597577
0.171285873776477,0.113494614224187,0.0647066305672889,0.0765,0.1155,0.224,0.0664888888888889,0.105499802629047
0.171716753302479,0.123247791830584,0.0659608546681539,0.0625,0.1155,0.191,0.078625,0.132542180460719
0.172492785630891,0.120027894855273,0.0652294249344715,0.0555,0.124,0.2,0.0688888888888889,0.119124293132174
0.177264846828241,0.111481344525823,0.059578663820185,0.0815,0.1365,0.1905,0.0427944444444444,0.0680926217698374
0.2195713269995,0.242015483597472,0.229785431189366,0.0235,0.027,0.0385,0.0278055555555556,0.020512521896087
0.164758337920227,0.108992943378386,0.0616938088265589,0.076,0.127,0.2035,0.0563833333333333,0.095903553299369
0.162400687117624,0.121582211853714,0.0602609783564022,0.0625,0.121,0.197,0.0771555555555556,0.129250084994193
0.178229123657935,0.108062038514855,0.0646764136198613,0.08,0.143,0.192,0.0441111111111111,0.0719793745171893
0.172773822102532,0.122107867740521,0.0569255147313189,0.0755,0.1215,0.21,0.0664888888888889,0.113491870630437
0.155551309769991,0.115866903333282,0.0587368564973941,0.0755,0.1265,0.207,0.0782027777777778,0.131987235143861
0.157087231125402,0.122741222972562,0.0639053342016175,0.0645,0.1165,0.199,0.0788722222222222,0.131430925166736
0.173472726076202,0.12691996555405,0.0624114486043057,0.083,0.143,0.2165,0.0525333333333333,0.0873840284868474
0.169551986760823,0.124865777876317,0.0637501792764414,0.0725,0.1175,0.217,0.077925,0.130456973465671
0.17791693668211,0.116044233194932,0.0579961794379578,0.072,0.13,0.2125,0.0641444444444444,0.101364149133881
0.160396515539393,0.121770194289094,0.0594461324591152,0.066,0.1345,0.1775,0.0725277777777778,0.1204776602201
0.16627517485091,0.121735284233744,0.0650933065302302,0.0775,0.118,0.21,0.0816944444444444,0.135509051244726
0.188310312332754,0.11776301965244,0.0602636379955946,0.077,0.139,0.2105,0.0615638888888889,0.105031671333661
0.187071598135896,0.105889184072613,0.0592880242870783,0.0855,0.1515,0.2045,0.0483833333333333,0.078303892505723
0.17696358750161,0.11838861534939,0.0616735351016975,0.0705,0.1165,0.2255,0.0711444444444445,0.119645385823731
0.172168096502848,0.123148562676647,0.0602593158027708,0.0775,0.156,0.2025,0.0534555555555556,0.0932287543622183
0.17616004205195,0.120648915303706,0.0599872985615506,0.0755,0.137,0.195,0.0531666666666667,0.0969695558079303
0.171388374365172,0.111661482797802,0.0586467442277363,0.0765,0.145,0.195,0.0555111111111111,0.0965844273288121
0.166275945876248,0.112198702235769,0.0585559114584248,0.063,0.141,0.2185,0.0739611111111111,0.120795577846691
0.175018661532902,0.107084953943086,0.0741998886087042,0.077,0.138,0.1485,0.0331111111111111,0.0492815642013548
0.168786745682765,0.125848004638001,0.0583789585713139,0.063,0.135,0.2265,0.0673888888888889,0.112040184702619
0.183179444648523,0.119405198609665,0.0608762008374984,0.0795,0.116,0.212,0.0519611111111111,0.0902211763639998
0.165326370274681,0.125286796060004,0.062857498275149,0.063,0.1205,0.1985,0.0754444444444445,0.124510384599678
0.183319654206377,0.117130760518854,0.0643326673403064,0.07,0.13,0.1975,0.0679444444444444,0.109746622040356
0.189520066028691,0.1084561810445,0.0596443760479917,0.077,0.146,0.1855,0.0444333333333333,0.0704472622834422
0.171941592552958,0.116715790659276,0.0586755517835624,0.0685,0.133,0.198,0.0659833333333333,0.114329278218634
0.188217339218033,0.121892126266698,0.0621438108128043,0.0885,0.1425,0.1955,0.0509666666666667,0.083328176041095
0.152040493225348,0.11680518451764,0.0635597124084221,0.0595,0.115,0.197,0.0817777777777778,0.131965786410587
0.15419931370733,0.119145096568206,0.0587351460578001,0.0755,0.128,0.2105,0.0672555555555556,0.112178716109504
0.159971905857821,0.111772147967719,0.0655683868603731,0.0595,0.1195,0.2125,0.0800666666666667,0.133638907551058
0.19031005376318,0.112925230869823,0.0680239147028255,0.074,0.1365,0.155,0.0365,0.0546864171175334
0.159430440077203,0.118448840885823,0.0658966145576074,0.061,0.1105,0.19,0.080575,0.13679923216238
0.173783782432294,0.10605191136103,0.057351649950848,0.093,0.148,0.2045,0.0505555555555556,0.0834890990221146
0.173891004096451,0.105517097761765,0.0635871487009586,0.079,0.1425,0.1985,0.04395,0.0700168378746458
0.179462239967917,0.128833957147458,0.0551398967370882,0.067,0.1325,0.21,0.0651777777777778,0.110023791237756
0.16651668948505,0.12474925631681,0.0650380656636125,0.066,0.131,0.2015,0.0734222222222222,0.121671239851662
0.169893575529648,0.108789763387351,0.0606427769256557,0.07,0.1155,0.196,0.0809722222222222,0.137585088811609
0.159746404198155,0.116695239049109,0.0617941163110856,0.06,0.1225,0.197,0.0793888888888889,0.133657761964439
0.167626608246994,0.110671024263073,0.0626114642313424,0.0805,0.114,0.21,0.0737055555555556,0.125725166206729
0.178781529523259,0.106122279719974,0.0573255603166228,0.0915,0.15,0.2105,0.0493,0.0774019538011315
0.176436461485521,0.103664756022243,0.0784406876431503,0.0735,0.1325,0.1435,0.0331111111111111,0.0474767261077525
0.175433615607003,0.104353342733994,0.0618252243846329,0.077,0.147,0.199,0.0429611111111111,0.0657488952784527
0.188902161237459,0.142323196392252,0.128704249428884,0.066,0.0855,0.0905,0.0269333333333333,0.0329036425217305
0.168283210764681,0.117295160346646,0.061715525887279,0.0865,0.148,0.2085,0.0609388888888889,0.10607288619518
0.196442736954777,0.112777077230649,0.0714906961298336,0.0765,0.1385,0.169,0.03595,0.0575884147195285
0.175287718706084,0.103067177045742,0.0767431606029021,0.074,0.1275,0.1625,0.0337666666666667,0.053030183789466
0.17464441104746,0.101844043087702,0.0661805959253581,0.0965,0.1455,0.151,0.0372388888888889,0.0562876804580423
0.163216106600988,0.123196612957557,0.0636008673446825,0.0685,0.113,0.1945,0.0779472222222222,0.133028128624916
0.171354993187486,0.116898824047129,0.0611575807826248,0.0805,0.158,0.1725,0.0420277777777778,0.0723292749007632
0.179267813083612,0.118780584341058,0.0590162408194813,0.09,0.1375,0.2115,0.0639222222222222,0.102796072905719
0.178142637297775,0.118693062750953,0.0641157883641423,0.0785,0.138,0.198,0.0687388888888889,0.112193397420639
0.186208098401072,0.111602039672677,0.0687365166451968,0.0805,0.141,0.1565,0.0360833333333333,0.0560010623749374
0.15856997204001,0.117241109966276,0.0585953809261387,0.077,0.128,0.211,0.07675,0.127822652813287
0.15988791845099,0.108683143960009,0.0623358741474205,0.0875,0.1325,0.1965,0.0456055555555556,0.0762129197171994
0.173043851411335,0.113011884315484,0.0598217501859297,0.0715,0.147,0.2075,0.0621,0.102329496384311
0.15214147054323,0.123097636327979,0.0655191857364941,0.067,0.108,0.2025,0.0781388888888889,0.129680374960021
0.166146401858508,0.128407834913615,0.054665882264115,0.065,0.1255,0.203,0.0664333333333333,0.11296461907763
0.176768369746909,0.124890570526363,0.0588875714705407,0.073,0.1375,0.194,0.0548055555555556,0.088799130752738
0.177860897039703,0.145650444765376,0.138815721090062,0.057,0.0805,0.089,0.0284166666666667,0.0326447100134043
0.177839290808433,0.114999595745745,0.0590248351040194,0.0795,0.16,0.201,0.0495833333333333,0.0840004024117874
0.160713024632594,0.123189443955281,0.0579599269591216,0.069,0.131,0.201,0.0698,0.116087935858058
0.182134113067045,0.11202495195676,0.0600062450188754,0.078,0.147,0.189,0.0466888888888889,0.078427367358654
