1.892742389223839028e-01,1.347079503577038317e-01,8.362880488721544103e-02,7.399999999999999634e-02,1.459999999999999909e-01,1.754999999999999893e-01,3.277777777777778068e-02,8.557500000000000107e-01,2.873780417033609536e-01
2.019618316716960960e-01,1.286354716848853996e-01,8.453710949046050471e-02,8.500000000000000611e-02,1.345000000000000084e-01,1.549999999999999989e-01,3.386111111111111266e-02,8.489999999999999769e-01,2.665809176303408634e-01
2.364897041795485932e-01,1.366217382796114654e-01,8.811637965962899888e-02,5.800000000000000294e-02,1.160000000000000059e-01,1.489999999999999936e-01,3.166666666666666588e-03,8.711666666666666448e-01,2.222676395098207303e-01
2.227330724763190162e-01,1.241171647588229926e-01,8.670899761116970805e-02,5.949999999999999734e-02,1.084999999999999992e-01,1.719999999999999862e-01,1.549999999999999989e-02,8.569999999999999840e-01,2.397459160599088313e-01
1.767638687387386442e-01,1.261901110038304019e-01,8.676788109084000722e-02,1.150000000000000050e-01,1.635000000000000064e-01,1.739999999999999880e-01,8.276111111111111862e-02,8.341666666666666119e-01,3.958046417019923102e-01
2.015041981564372753e-01,1.327210522457140385e-01,8.266771715588387692e-02,7.199999999999999456e-02,1.295000000000000040e-01,1.824999999999999956e-01,4.310000000000000636e-02,8.444166666666667043e-01,2.792607042012051344e-01
1.951236589047584402e-01,1.367697910333852407e-01,8.288078289979097790e-02,9.550000000000000155e-02,1.360000000000000098e-01,1.819999999999999951e-01,5.324444444444444841e-02,8.405833333333333490e-01,3.236659115937926545e-01
2.103889760529650543e-01,1.292195967545869684e-01,8.991209850902773248e-02,7.249999999999999500e-02,1.340000000000000080e-01,1.559999999999999998e-01,3.038888888888888890e-02,8.517500000000000071e-01,2.938515270651350653e-01
2.025382009479894940e-01,1.277916515892016380e-01,8.352418332109962096e-02,7.799999999999999989e-02,1.385000000000000120e-01,1.759999999999999898e-01,3.112777777777778546e-02,8.474166666666667069e-01,2.911890157571960791e-01
2.112237207003069550e-01,1.274381225599134637e-01,8.550769548030223710e-02,7.549999999999999767e-02,1.275000000000000022e-01,1.724999999999999867e-01,3.068333333333333676e-02,8.526666666666666838e-01,3.085982630338616195e-01
2.026049658540821641e-01,1.300222762373170193e-01,8.646953897116067822e-02,9.750000000000000333e-02,1.474999999999999922e-01,1.715000000000000135e-01,4.760555555555555374e-02,8.453333333333333810e-01,3.532677985639547935e-01
2.078146191601084602e-01,1.330580520748737838e-01,9.272283927873826992e-02,5.299999999999999850e-02,1.155000000000000054e-01,1.514999999999999958e-01,1.222222222222222460e-02,8.597500000000000142e-01,2.346969399299231041e-01
2.271767083465714987e-01,1.369148244070905740e-01,9.432728630218878418e-02,5.000000000000000278e-02,1.355000000000000093e-01,1.479999999999999927e-01,1.261111111111111113e-02,8.695000000000000506e-01,2.645187047596818108e-01
